VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnOver,SalestoPurchaseRatio
3960,DIAGEO NORTH AMERICA INC,8506,Myers Original Dark Rum,21.42,29.99,1750.0,15187.0,325305.5447921753,14633.0,449036.6756038666,198940.70413398743,26889.580219864845,257032.06952285767,123731.13081169128,27.554793969846024,0.9635214328043722,1.38035358693544
4425,MARTIGNETTI COMPANIES,14672,Duckhorn Decoy Cab Svgn,11.61,21.99,750.0,27814.0,322920.5435066223,27729.0,508256.95096588135,143395.56158638,3105.3200045078993,144929.24016594887,185336.40745925903,36.46510039991572,0.9969439850435032,1.573938113217186
4425,MARTIGNETTI COMPANIES,6579,J Lohr Riverstone Chard,5.8,8.99,750.0,54960.0,318767.99857234955,56157.0,605967.3798074722,121728.32758140564,6301.710014119744,144929.24016594887,287199.3812351227,47.39518838891486,1.0217794759825327,1.9009667925305813
3252,E & J GALLO WINERY,2164,New Amsterdam Gin,12.14,16.99,1750.0,26071.0,316501.9364089966,24495.0,431674.04725265503,208640.76729393005,45007.590514183044,61966.90998840332,115172.11084365845,26.680341701489695,0.939549691227801,1.3638906989018493
2000,SOUTHERN WINE & SPIRITS NE,27854,F Coppola Black Label Claret,10.2,14.99,750.0,30869.0,314863.8012561798,30768.0,443192.11711502075,129556.4181509018,3445.720003426075,19016.589984714985,128328.31585884094,28.955459924287453,0.9967281091062231,1.4075677018026926
8112,MOET HENNESSY USA INC,3682,Belvedere Vodka,16.66,22.99,750.0,18848.0,314007.6793708801,17869.0,413944.3078842163,199630.15803527832,14073.020166635513,48347.26006126404,99936.62851333618,24.14252995146615,0.9480581494057725,1.3182617339600131
9552,M S WALKER INC,7878,Allens Coffee Brandy,9.99,15.99,1750.0,31200.0,311687.99826431274,31160.0,471064.3985557556,117338.9782371521,57256.31991863251,55551.819732666016,159376.40029144287,33.833250990751516,0.9987179487179487,1.5113331317822865
2561,EDRINGTON AMERICAS,1634,The Famous Grouse,20.73,29.99,1750.0,15031.0,311592.6278991699,14614.0,444949.86057281494,224519.45066261292,26854.42031145096,9654.499965667725,133357.23267364502,29.97129440651245,0.9722573348413279,1.427985840270903
12546,JIM BEAM BRANDS COMPANY,3444,Hornitos Plata Tequila,29.13,39.99,1750.0,10636.0,309826.67653274536,10362.0,375689.3938179016,242129.65113830566,19042.860328793526,123880.96989059448,65862.71728515625,17.531162276324526,0.9742384355020685,1.212579233080323
17035,PERNOD RICARD USA,2426,The Glenlivet 15Yr FrenchOak,41.59,51.99,750.0,7445.0,309637.54375457764,7445.0,413475.5592842102,252067.74759674072,5866.500097453594,123780.22020339966,103838.01552963257,25.11345911458277,1.0,1.335353440253149
1392,CONSTELLATION BRANDS INC,32915,Kim Crawford Svgn Bl Marlbro,9.99,14.99,750.0,30842.0,308111.57829093933,30869.0,472099.3090763092,126472.19812774658,3459.250009343028,79528.99032592773,163987.73078536987,34.73585485778867,1.0008754296089748,1.5322348861246682
4425,MARTIGNETTI COMPANIES,35412,Yellow Tail Chard Ausl,5.97,9.99,1500.0,51294.0,306225.17923402786,50797.0,491916.08868694305,117789.59759807587,11409.349993109703,144929.24016594887,185690.9094529152,37.74849282701332,0.9903107575934808,1.6063868095934848
3960,DIAGEO NORTH AMERICA INC,3840,Smirnoff Raspberry Vodka,14.39,22.99,1750.0,21076.0,303283.6309604645,21167.0,438524.3272037506,224450.24753379822,38894.10048353672,257032.06952285767,135240.69624328613,30.839952963532973,1.0043177073448473,1.4459215151671534
9552,M S WALKER INC,3769,Jenkins Vodka,7.02,9.49,1750.0,42549.0,298693.9765291214,42105.0,394134.44593429565,134715.906747818,77358.39032268524,55551.819732666016,95440.46940517426,24.21520635653467,0.9895649721497568,1.319525925879758
8673,STE MICHELLE WINE ESTATES,8815,Ch Ste Michelle Chard Colmbi,6.07,8.99,750.0,48853.0,296537.7070631981,48587.0,431702.3485574722,97686.76771259308,5449.720012933016,15919.699905395508,135164.64149427414,31.30968407883928,0.9945550938529876,1.4558092892566539
3960,DIAGEO NORTH AMERICA INC,3879,Smirnoff 80 Proof Traveler,7.91,12.99,750.0,37344.0,295391.03952407837,36604.0,427609.95928764343,187268.25638961792,28815.44028121233,257032.06952285767,132218.91976356506,30.92044908959298,0.9801842330762639,1.4476063998982185
12546,JIM BEAM BRANDS COMPANY,1375,Jim Beam,11.5,14.49,750.0,25183.0,289604.5,26121.0,402621.2874736786,203013.3569984436,20569.550255715847,123880.96989059448,113016.78747367859,28.070246405207044,1.0372473494023746,1.3902452740674907
8892,TRINCHERO FAMILY ESTATES,41034,Menage a Trois Red,5.26,8.99,750.0,54738.0,287921.87905979156,54744.0,509372.47779273987,132593.94682312012,6135.290008202195,11595.970090389252,221450.5987329483,43.47517943893604,1.0001096130658775,1.76913432024025
1128,BROWN-FORMAN CORP,1545,Gentleman Jack,19.42,29.99,750.0,14785.0,287124.69469451904,14501.0,423808.98793029785,253424.57802200317,11423.390177726746,68601.68014144897,136684.2932357788,32.251390869100376,0.9807913425769361,1.476045062516136
480,BACARDI USA INC,2665,Dewars White Label,15.38,19.99,750.0,18574.0,285668.1153335571,19088.0,400461.11760902405,215262.60767936707,15034.060194313526,89286.26965904236,114793.00227546692,28.665205491320876,1.0276730914181114,1.4018404439061398
1128,BROWN-FORMAN CORP,1770,Jack Daniels Tennessee Fire,26.42,38.99,1750.0,10746.0,283909.32445526123,10128.0,389506.7322998047,233847.25019836426,18613.130274295807,68601.68014144897,105597.40784454346,27.110547543313,0.9424902289223898,1.3719406118384943
4425,MARTIGNETTI COMPANIES,6595,Bogle Merlot,4.48,6.95,750.0,63188.0,283082.2375226021,62368.0,502198.4565181732,109537.95705890656,6997.390008613467,144929.24016594887,219116.21899557114,43.631400326225794,0.9870228524403367,1.7740373289160407
1392,CONSTELLATION BRANDS INC,35472,R M Woodbridge Pnt Grigio,5.88,8.99,1500.0,47207.0,277577.15713596344,46764.0,469543.35660362244,127217.46717262268,10500.999985665083,79528.99032592773,191966.199467659,40.88359397867328,0.9906157985044591,1.6915777992986278
8004,SAZERAC CO INC,5105,Dr McGillicuddy's Mentholmnt,14.81,25.99,1750.0,18007.0,266683.6722278595,17355.0,390990.4476509094,199774.48799705505,31890.830365896225,50293.61984348297,124306.77542304993,31.79279089038911,0.9637918587216082,1.4661206829221998
